iter	Passed	Remaining
0	157	157811
1	159	79734
2	161	53593
3	162	40521
4	164	32697
5	165	27456
6	167	23757
7	168	20939
8	170	18764
9	171	17011
10	173	15576
11	174	14368
12	175	13347
13	177	12496
14	179	11770
15	180	11102
16	181	10514
17	183	9988
18	184	9518
19	185	9098
20	187	8721
21	188	8374
22	189	8057
23	191	7775
24	193	7541
25	195	7306
26	196	7075
27	197	6858
28	198	6650
29	199	6453
30	200	6268
31	201	6096
32	203	5955
33	204	5806
34	205	5660
35	206	5526
36	207	5413
37	209	5291
38	209	5174
39	210	5063
40	212	4959
41	213	4861
42	214	4780
43	215	4689
44	217	4612
45	218	4530
46	219	4459
47	221	4383
48	222	4316
49	224	4259
50	224	4183
51	225	4108
52	226	4053
53	227	3983
54	227	3916
55	228	3851
56	229	3788
57	229	3728
58	230	3670
59	230	3613
60	231	3558
61	231	3506
62	232	3455
63	232	3405
64	233	3358
65	234	3311
66	234	3266
67	235	3222
68	235	3180
69	237	3149
70	237	3112
71	238	3073
72	239	3035
73	239	2997
74	240	2960
75	240	2925
76	241	2890
77	241	2856
78	242	2823
79	242	2791
80	243	2759
81	243	2729
82	244	2696
83	244	2666
84	245	2638
85	245	2610
86	246	2583
87	246	2557
88	247	2531
89	247	2506
90	248	2481
91	248	2457
92	249	2433
93	250	2410
94	250	2387
95	252	2376
96	253	2355
97	253	2333
98	254	2312
99	255	2296
100	255	2276
101	256	2256
102	256	2236
103	257	2217
104	257	2198
105	258	2179
106	259	2161
107	259	2143
108	260	2125
109	260	2108
110	261	2091
111	261	2074
112	262	2058
113	262	2042
114	263	2026
115	263	2011
116	264	1995
117	264	1980
118	265	1965
119	266	1952
120	267	1945
121	268	1931
122	269	1918
123	269	1904
124	270	1891
125	270	1877
126	271	1863
127	271	1850
128	272	1838
129	272	1825
130	273	1814
131	274	1801
132	274	1789
133	275	1778
134	275	1766
135	276	1755
136	276	1744
137	277	1733
138	278	1722
139	278	1711
140	279	1700
141	279	1688
142	280	1678
143	280	1668
144	281	1657
145	282	1650
146	283	1644
147	283	1634
148	284	1625
149	285	1615
150	285	1605
151	286	1596
152	286	1587
153	287	1578
154	287	1568
155	288	1559
156	288	1551
157	289	1542
158	289	1533
159	290	1525
160	290	1515
161	291	1507
162	291	1499
163	292	1491
164	293	1483
165	293	1475
166	294	1467
167	294	1459
168	295	1452
169	295	1445
170	296	1439
171	298	1434
172	298	1428
173	299	1421
174	300	1414
175	300	1408
176	301	1402
177	302	1396
178	302	1389
179	303	1383
180	304	1376
181	304	1370
182	305	1364
183	306	1359
184	307	1352
185	307	1346
186	308	1340
187	308	1333
188	309	1328
189	310	1321
190	310	1315
191	311	1309
192	312	1305
193	313	1301
194	314	1296
195	314	1291
196	315	1287
197	316	1283
198	317	1278
199	318	1273
200	319	1268
201	319	1263
202	320	1257
203	321	1252
204	321	1247
205	322	1242
206	322	1236
207	323	1231
208	324	1226
209	326	1228
210	329	1231
211	330	1227
212	330	1222
213	331	1217
214	332	1213
215	332	1208
216	333	1202
217	333	1197
218	334	1192
219	335	1188
220	335	1183
221	336	1178
222	336	1173
223	337	1168
224	337	1163
225	338	1158
226	338	1154
227	339	1149
228	340	1144
229	340	1140
230	341	1135
231	341	1131
232	342	1128
233	343	1125
234	344	1121
235	345	1118
236	346	1114
237	346	1110
238	347	1105
239	347	1101
240	348	1096
241	348	1092
242	349	1088
243	349	1084
244	350	1079
245	350	1075
246	351	1071
247	352	1067
248	352	1063
249	353	1059
250	353	1055
251	354	1051
252	355	1048
253	355	1044
254	356	1040
255	356	1036
256	359	1038
257	360	1036
258	360	1032
259	361	1028
260	362	1025
261	362	1021
262	363	1018
263	363	1014
264	364	1010
265	365	1007
266	365	1003
267	366	999
268	366	996
269	367	992
270	367	989
271	368	985
272	368	981
273	369	978
274	369	974
275	370	971
276	370	968
277	371	964
278	372	962
279	373	961
280	374	959
281	375	956
282	376	953
283	376	950
284	377	947
285	378	943
286	378	940
287	379	937
288	380	934
289	380	931
290	381	928
291	381	925
292	382	922
293	383	919
294	383	916
295	384	914
296	384	911
297	385	908
298	386	905
299	386	902
300	388	902
301	389	900
302	390	898
303	391	895
304	392	893
305	392	890
306	393	887
307	393	885
308	394	882
309	395	879
310	395	876
311	396	873
312	396	870
313	397	868
314	398	865
315	398	862
316	399	860
317	399	857
318	400	854
319	401	852
320	401	849
321	402	846
322	403	845
323	404	843
324	404	841
325	405	838
326	406	835
327	406	833
328	407	830
329	407	828
330	408	825
331	408	822
332	409	820
333	410	817
334	410	815
335	411	812
336	411	810
337	412	807
338	412	805
339	413	802
340	414	800
341	414	797
342	415	795
343	415	793
344	416	790
345	417	788
346	418	787
347	419	785
348	419	783
349	420	780
350	421	778
351	421	776
352	422	773
353	422	771
354	423	769
355	423	766
356	424	764
357	425	762
358	425	759
359	426	757
360	426	755
361	427	753
362	428	751
363	428	748
364	429	746
365	429	744
366	430	742
367	431	740
368	431	738
369	432	736
370	433	735
371	434	733
372	435	731
373	435	729
374	436	727
375	436	725
376	437	723
377	438	720
378	438	718
379	439	716
380	439	714
381	440	712
382	440	710
383	441	708
384	442	706
385	442	704
386	443	702
387	444	700
388	444	698
389	445	696
390	446	694
391	446	692
392	447	690
393	448	689
394	449	689
395	450	687
396	451	685
397	451	683
398	452	681
399	453	679
400	453	677
401	454	675
402	454	673
403	455	671
404	456	670
405	456	668
406	457	666
407	457	664
408	458	662
409	459	660
410	459	658
411	460	656
412	460	655
413	461	653
414	461	651
415	462	649
416	463	648
417	464	647
418	465	645
419	466	643
420	466	641
421	467	639
422	467	638
423	468	636
424	469	634
425	469	633
426	470	631
427	471	629
428	471	627
429	472	626
430	472	624
431	473	622
432	474	621
433	474	619
434	475	617
435	476	616
436	476	614
437	477	612
438	478	611
439	479	610
440	480	608
441	480	607
442	481	605
443	482	603
444	482	602
445	483	600
446	484	598
447	484	597
448	485	595
449	485	593
450	486	592
451	487	590
452	487	588
453	488	587
454	488	585
455	489	583
456	490	582
457	490	580
458	491	579
459	491	577
460	492	575
461	493	574
462	494	573
463	495	572
464	495	570
465	496	568
466	497	567
467	497	565
468	498	564
469	498	562
470	499	560
471	499	559
472	500	557
473	501	556
474	501	554
475	502	553
476	503	551
477	503	550
478	504	548
479	504	547
480	505	545
481	506	543
482	506	542
483	507	540
484	508	539
485	509	539
486	510	537
487	511	536
488	511	534
489	512	533
490	512	531
491	513	530
492	514	528
493	514	527
494	515	525
495	515	524
496	516	522
497	517	521
498	517	519
499	518	518
500	518	516
501	519	515
502	520	513
503	520	512
504	521	510
505	521	509
506	522	508
507	523	506
508	525	506
509	526	505
510	527	504
511	527	502
512	528	501
513	529	500
514	529	499
515	530	497
516	531	496
517	531	494
518	532	493
519	532	491
520	533	490
521	534	488
522	534	487
523	535	486
524	535	484
525	536	483
526	536	481
527	537	480
528	537	478
529	538	477
530	539	476
531	540	475
532	540	473
533	541	472
534	542	471
535	542	469
536	543	468
537	543	466
538	544	465
539	544	463
540	545	462
541	545	461
542	546	459
543	546	458
544	547	457
545	547	455
546	548	454
547	549	452
548	549	451
549	550	450
550	550	448
551	551	447
552	552	446
553	552	444
554	553	443
555	554	442
556	555	441
557	556	440
558	556	439
559	557	437
560	557	436
561	558	435
562	558	433
563	559	432
564	559	431
565	560	429
566	560	428
567	561	427
568	562	425
569	562	424
570	563	423
571	563	421
572	564	420
573	564	419
574	565	417
575	565	416
576	566	415
577	567	414
578	568	413
579	568	411
580	569	410
581	570	409
582	571	408
583	571	407
584	572	406
585	573	404
586	573	403
587	574	402
588	574	401
589	575	399
590	575	398
591	576	397
592	576	395
593	577	394
594	577	393
595	578	392
596	579	390
597	579	389
598	580	388
599	580	387
600	581	385
601	581	384
602	582	383
603	582	382
604	583	380
605	584	379
606	585	378
607	586	377
608	586	376
609	587	375
610	587	374
611	588	372
612	588	371
613	589	370
614	589	369
615	590	368
616	591	366
617	591	365
618	592	364
619	592	363
620	593	362
621	593	360
622	594	359
623	594	358
624	595	357
625	595	356
626	596	354
627	597	353
628	597	352
629	598	351
630	598	350
631	599	348
632	600	348
633	601	346
634	601	345
635	602	344
636	602	343
637	603	342
638	603	341
639	604	339
640	604	338
641	605	337
642	605	336
643	606	335
644	606	334
645	607	332
646	608	331
647	608	330
648	609	329
649	609	328
650	610	327
651	611	326
652	611	325
653	612	324
654	613	322
655	613	321
656	614	320
657	615	319
658	616	318
659	616	317
660	617	316
661	617	315
662	618	314
663	619	313
664	620	312
665	620	311
666	621	310
667	621	309
668	622	307
669	622	306
670	623	305
671	624	304
672	624	303
673	625	302
674	625	301
675	626	300
676	626	299
677	627	298
678	628	296
679	628	295
680	629	294
681	630	294
682	631	293
683	632	292
684	633	291
685	633	290
686	634	289
687	634	287
688	635	286
689	636	285
690	636	284
691	637	283
692	637	282
693	638	281
694	639	280
695	639	279
696	640	278
697	640	277
698	641	276
699	641	275
700	642	274
701	643	272
702	643	271
703	644	270
704	645	270
705	646	269
706	646	268
707	647	267
708	648	266
709	648	264
710	649	263
711	649	262
712	650	261
713	650	260
714	651	259
715	651	258
716	652	257
717	652	256
718	653	255
719	654	254
720	654	253
721	655	252
722	655	251
723	656	250
724	656	249
725	657	248
726	657	247
727	658	246
728	659	245
729	659	244
730	661	243
731	662	242
732	662	241
733	663	240
734	663	239
735	664	238
736	664	237
737	665	236
738	666	235
739	666	234
740	667	233
741	667	232
742	668	231
743	668	230
744	669	229
745	669	228
746	670	227
747	670	226
748	671	225
749	672	224
750	672	223
751	673	222
752	673	221
753	674	220
754	675	219
755	676	218
756	677	217
757	677	216
758	678	215
759	679	214
760	679	213
761	680	212
762	680	211
763	681	210
764	681	209
765	682	208
766	682	207
767	683	206
768	683	205
769	684	204
770	684	203
771	685	202
772	686	201
773	686	200
774	687	199
775	687	198
776	688	197
777	688	196
778	689	195
779	689	194
780	690	193
781	691	192
782	692	191
783	693	190
784	693	190
785	694	189
786	694	188
787	695	187
788	696	186
789	696	185
790	697	184
791	697	183
792	698	182
793	698	181
794	699	180
795	700	179
796	700	178
797	701	177
798	701	176
799	702	175
800	703	174
801	703	173
802	704	172
803	704	171
804	705	170
805	706	169
806	707	169
